D_G102_0;D_EDAD_0;D_TERRITORIO_0;D_TEMPORAL_0;D_MES_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
57714;61613;3143;2018;55912;3690;Defunciones;1.0;A
57714;61613;3143;2018;55913;3691;Defunciones;6.0;A
57714;61613;3143;2018;55913;3689;Defunciones;5.0;A
57714;61613;3143;2018;55913;3690;Defunciones;1.0;A
57714;61613;3143;2018;55914;3691;Defunciones;2.0;A
57714;61613;3143;2018;55914;3689;Defunciones;1.0;A
57714;61613;3143;2018;55914;3690;Defunciones;1.0;A
57714;61613;3143;2018;55915;3691;Defunciones;3.0;A
57714;61613;3143;2018;55915;3689;Defunciones;3.0;A
57714;61613;3143;2018;55916;3691;Defunciones;4.0;A
57714;61613;3143;2018;55916;3689;Defunciones;4.0;A
57714;61613;3143;2018;55917;3691;Defunciones;1.0;A
57714;61613;3143;2018;55917;3689;Defunciones;1.0;A
57714;61613;3143;2018;55918;3691;Defunciones;3.0;A
57714;61613;3143;2018;55918;3689;Defunciones;2.0;A
57714;61613;3143;2018;55918;3690;Defunciones;1.0;A
57714;61613;3143;2018;55919;3691;Defunciones;1.0;A
57714;61613;3143;2018;55919;3689;Defunciones;1.0;A
57714;61613;3143;2017;55920;3691;Defunciones;18.0;A
57714;61613;3143;2017;55920;3689;Defunciones;14.0;A
57714;61613;3143;2017;55920;3690;Defunciones;4.0;A
57714;61613;3143;2017;55909;3691;Defunciones;1.0;A
57714;61613;3143;2017;55909;3689;Defunciones;1.0;A
57714;61613;3143;2017;55910;3691;Defunciones;1.0;A
57714;61613;3143;2017;55910;3689;Defunciones;1.0;A
57714;61613;3143;2017;55911;3691;Defunciones;5.0;A
57714;61613;3143;2017;55911;3689;Defunciones;4.0;A
57714;61613;3143;2017;55911;3690;Defunciones;1.0;A
57714;61613;3143;2017;55912;3691;Defunciones;1.0;A
57714;61613;3143;2017;55912;3690;Defunciones;1.0;A
57714;61613;3143;2017;55913;3691;Defunciones;1.0;A
57714;61613;3143;2017;55913;3689;Defunciones;1.0;A
57714;61613;3143;2017;55914;3691;Defunciones;2.0;A
57714;61613;3143;2017;55914;3689;Defunciones;1.0;A
57714;61613;3143;2017;55914;3690;Defunciones;1.0;A
57714;61613;3143;2017;55917;3691;Defunciones;1.0;A
57714;61613;3143;2017;55917;3689;Defunciones;1.0;A
57714;61613;3143;2017;55918;3691;Defunciones;2.0;A
57714;61613;3143;2017;55918;3689;Defunciones;1.0;A
57714;61613;3143;2017;55918;3690;Defunciones;1.0;A
57714;61613;3143;2017;55919;3691;Defunciones;4.0;A
57714;61613;3143;2017;55919;3689;Defunciones;4.0;A
57714;61614;3143;2018;55920;3691;Defunciones;36.0;A
57714;61614;3143;2018;55920;3689;Defunciones;23.0;A
57714;61614;3143;2018;55920;3690;Defunciones;13.0;A
57714;61614;3143;2018;55908;3691;Defunciones;4.0;A
57714;61614;3143;2018;55908;3689;Defunciones;1.0;A
57714;61614;3143;2018;55908;3690;Defunciones;3.0;A
57714;61614;3143;2018;55909;3691;Defunciones;1.0;A
57714;61614;3143;2018;55909;3690;Defunciones;1.0;A
57714;61614;3143;2018;55910;3691;Defunciones;4.0;A
57714;61614;3143;2018;55910;3689;Defunciones;2.0;A
57714;61614;3143;2018;55910;3690;Defunciones;2.0;A
57714;61614;3143;2018;55911;3691;Defunciones;2.0;A
57714;61614;3143;2018;55911;3689;Defunciones;1.0;A
57714;61614;3143;2018;55911;3690;Defunciones;1.0;A
57714;61614;3143;2018;55912;3691;Defunciones;1.0;A
57714;61614;3143;2018;55912;3689;Defunciones;1.0;A
57714;61614;3143;2018;55913;3691;Defunciones;2.0;A
57714;61614;3143;2018;55913;3689;Defunciones;2.0;A
57714;61614;3143;2018;55914;3691;Defunciones;4.0;A
57714;61614;3143;2018;55914;3689;Defunciones;4.0;A
57714;61614;3143;2018;55915;3691;Defunciones;2.0;A
57714;61614;3143;2018;55915;3689;Defunciones;2.0;A
57714;61614;3143;2018;55916;3691;Defunciones;8.0;A
57714;61614;3143;2018;55916;3689;Defunciones;3.0;A
57714;61614;3143;2018;55916;3690;Defunciones;5.0;A
57714;61614;3143;2018;55917;3691;Defunciones;4.0;A
57714;61614;3143;2018;55917;3689;Defunciones;3.0;A
57714;61614;3143;2018;55917;3690;Defunciones;1.0;A
57714;61614;3143;2018;55918;3691;Defunciones;1.0;A
57714;61614;3143;2018;55918;3689;Defunciones;1.0;A
57714;61614;3143;2018;55919;3691;Defunciones;3.0;A
57714;61614;3143;2018;55919;3689;Defunciones;3.0;A
57714;61614;3143;2017;55920;3691;Defunciones;21.0;A
57714;61614;3143;2017;55920;3689;Defunciones;17.0;A
57714;61614;3143;2017;55920;3690;Defunciones;4.0;A
57714;61614;3143;2017;55908;3691;Defunciones;2.0;A
57714;61614;3143;2017;55908;3689;Defunciones;2.0;A
57714;61614;3143;2017;55909;3691;Defunciones;1.0;A
57714;61614;3143;2017;55909;3689;Defunciones;1.0;A
57714;61614;3143;2017;55911;3691;Defunciones;1.0;A
57714;61614;3143;2017;55911;3690;Defunciones;1.0;A
57714;61614;3143;2017;55913;3691;Defunciones;1.0;A
57714;61614;3143;2017;55913;3689;Defunciones;1.0;A
57714;61614;3143;2017;55914;3691;Defunciones;6.0;A
57714;61614;3143;2017;55914;3689;Defunciones;4.0;A
57714;61614;3143;2017;55914;3690;Defunciones;2.0;A
57714;61614;3143;2017;55915;3691;Defunciones;2.0;A
57714;61614;3143;2017;55915;3689;Defunciones;2.0;A
57714;61614;3143;2017;55916;3691;Defunciones;1.0;A
57714;61614;3143;2017;55916;3689;Defunciones;1.0;A
57714;61614;3143;2017;55917;3691;Defunciones;2.0;A
57714;61614;3143;2017;55917;3689;Defunciones;2.0;A
57714;61614;3143;2017;55919;3691;Defunciones;5.0;A
57714;61614;3143;2017;55919;3689;Defunciones;4.0;A
57714;61614;3143;2017;55919;3690;Defunciones;1.0;A
57714;61615;3143;2018;55920;3691;Defunciones;41.0;A
57714;61615;3143;2018;55920;3689;Defunciones;27.0;A
57714;61615;3143;2018;55920;3690;Defunciones;14.0;A
57714;61615;3143;2018;55908;3691;Defunciones;3.0;A
57714;61615;3143;2018;55908;3689;Defunciones;2.0;A
57714;61615;3143;2018;55908;3690;Defunciones;1.0;A
57714;61615;3143;2018;55909;3691;Defunciones;2.0;A
57714;61615;3143;2018;55909;3689;Defunciones;1.0;A
57714;61615;3143;2018;55909;3690;Defunciones;1.0;A
57714;61615;3143;2018;55910;3691;Defunciones;1.0;A
57714;61615;3143;2018;55910;3690;Defunciones;1.0;A
57714;61615;3143;2018;55911;3691;Defunciones;2.0;A
57714;61615;3143;2018;55911;3689;Defunciones;1.0;A
57714;61615;3143;2018;55911;3690;Defunciones;1.0;A
57714;61615;3143;2018;55912;3691;Defunciones;1.0;A
57714;61615;3143;2018;55912;3689;Defunciones;1.0;A
57714;61615;3143;2018;55913;3691;Defunciones;8.0;A
57714;61615;3143;2018;55913;3689;Defunciones;4.0;A
57714;61615;3143;2018;55913;3690;Defunciones;4.0;A
57714;61615;3143;2018;55914;3691;Defunciones;7.0;A
57714;61615;3143;2018;55914;3689;Defunciones;3.0;A
57714;61615;3143;2018;55914;3690;Defunciones;4.0;A
57714;61615;3143;2018;55915;3691;Defunciones;1.0;A
57714;61615;3143;2018;55915;3689;Defunciones;1.0;A
57714;61615;3143;2018;55916;3691;Defunciones;3.0;A
57714;61615;3143;2018;55916;3689;Defunciones;2.0;A
57714;61615;3143;2018;55916;3690;Defunciones;1.0;A
57714;61615;3143;2018;55917;3691;Defunciones;4.0;A
57714;61615;3143;2018;55917;3689;Defunciones;4.0;A
57714;61615;3143;2018;55918;3691;Defunciones;4.0;A
57714;61615;3143;2018;55918;3689;Defunciones;4.0;A
57714;61615;3143;2018;55919;3691;Defunciones;5.0;A
57714;61615;3143;2018;55919;3689;Defunciones;4.0;A
57714;61615;3143;2018;55919;3690;Defunciones;1.0;A
57714;61615;3143;2017;55920;3691;Defunciones;14.0;A
57714;61615;3143;2017;55920;3689;Defunciones;11.0;A
57714;61615;3143;2017;55920;3690;Defunciones;3.0;A
57714;61615;3143;2017;55908;3691;Defunciones;1.0;A
57714;61615;3143;2017;55908;3689;Defunciones;1.0;A
57714;61615;3143;2017;55909;3691;Defunciones;1.0;A
57714;61615;3143;2017;55909;3690;Defunciones;1.0;A
57714;61615;3143;2017;55911;3691;Defunciones;1.0;A
57714;61615;3143;2017;55911;3689;Defunciones;1.0;A
57714;61615;3143;2017;55913;3691;Defunciones;1.0;A
57714;61615;3143;2017;55913;3689;Defunciones;1.0;A
57714;61615;3143;2017;55914;3691;Defunciones;2.0;A
57714;61615;3143;2017;55914;3689;Defunciones;2.0;A
57714;61615;3143;2017;55915;3691;Defunciones;1.0;A
57714;61615;3143;2017;55915;3689;Defunciones;1.0;A
57714;61615;3143;2017;55917;3691;Defunciones;1.0;A
57714;61615;3143;2017;55917;3689;Defunciones;1.0;A
57714;61615;3143;2017;55918;3691;Defunciones;2.0;A
57714;61615;3143;2017;55918;3689;Defunciones;1.0;A
57714;61615;3143;2017;55918;3690;Defunciones;1.0;A
57714;61615;3143;2017;55919;3691;Defunciones;4.0;A
57714;61615;3143;2017;55919;3689;Defunciones;3.0;A
57714;61615;3143;2017;55919;3690;Defunciones;1.0;A
57714;61616;3143;2018;55920;3691;Defunciones;31.0;A
57714;61616;3143;2018;55920;3689;Defunciones;26.0;A
57714;61616;3143;2018;55920;3690;Defunciones;5.0;A
57714;61616;3143;2018;55908;3691;Defunciones;3.0;A
57714;61616;3143;2018;55908;3689;Defunciones;2.0;A
57714;61616;3143;2018;55908;3690;Defunciones;1.0;A
57714;61616;3143;2018;55909;3691;Defunciones;2.0;A
57714;61616;3143;2018;55909;3689;Defunciones;1.0;A
57714;61616;3143;2018;55909;3690;Defunciones;1.0;A
57714;61616;3143;2018;55910;3691;Defunciones;4.0;A
57714;61616;3143;2018;55910;3689;Defunciones;4.0;A
57714;61616;3143;2018;55911;3691;Defunciones;3.0;A
57714;61616;3143;2018;55911;3689;Defunciones;2.0;A
57714;61616;3143;2018;55911;3690;Defunciones;1.0;A
57714;61616;3143;2018;55912;3691;Defunciones;4.0;A
57714;61616;3143;2018;55912;3689;Defunciones;3.0;A
57714;61616;3143;2018;55912;3690;Defunciones;1.0;A
57714;61616;3143;2018;55914;3691;Defunciones;1.0;A
57714;61616;3143;2018;55914;3689;Defunciones;1.0;A
57714;61616;3143;2018;55915;3691;Defunciones;3.0;A
57714;61616;3143;2018;55915;3689;Defunciones;3.0;A
57714;61616;3143;2018;55917;3691;Defunciones;4.0;A
57714;61616;3143;2018;55917;3689;Defunciones;3.0;A
57714;61616;3143;2018;55917;3690;Defunciones;1.0;A
57714;61616;3143;2018;55918;3691;Defunciones;2.0;A
57714;61616;3143;2018;55918;3689;Defunciones;2.0;A
57714;61616;3143;2018;55919;3691;Defunciones;5.0;A
57714;61616;3143;2018;55919;3689;Defunciones;5.0;A
57714;61616;3143;2017;55920;3691;Defunciones;28.0;A
57714;61616;3143;2017;55920;3689;Defunciones;23.0;A
57714;61616;3143;2017;55920;3690;Defunciones;5.0;A
57714;61616;3143;2017;55908;3691;Defunciones;1.0;A
57714;61616;3143;2017;55908;3689;Defunciones;1.0;A
57714;61616;3143;2017;55909;3691;Defunciones;1.0;A
57714;61616;3143;2017;55909;3689;Defunciones;1.0;A
57714;61616;3143;2017;55910;3691;Defunciones;1.0;A
57714;61616;3143;2017;55910;3689;Defunciones;1.0;A
57714;61616;3143;2017;55911;3691;Defunciones;5.0;A
57714;61616;3143;2017;55911;3689;Defunciones;5.0;A
57714;61616;3143;2017;55912;3691;Defunciones;6.0;A
57714;61616;3143;2017;55912;3689;Defunciones;3.0;A
57714;61616;3143;2017;55912;3690;Defunciones;3.0;A
57714;61616;3143;2017;55913;3691;Defunciones;2.0;A
57714;61616;3143;2017;55913;3689;Defunciones;2.0;A
57714;61616;3143;2017;55914;3691;Defunciones;5.0;A
57714;61616;3143;2017;55914;3689;Defunciones;4.0;A
57714;61616;3143;2017;55914;3690;Defunciones;1.0;A
57714;61616;3143;2017;55915;3691;Defunciones;3.0;A
57714;61616;3143;2017;55915;3689;Defunciones;2.0;A
57714;61616;3143;2017;55915;3690;Defunciones;1.0;A
57714;61616;3143;2017;55916;3691;Defunciones;1.0;A
57714;61616;3143;2017;55916;3689;Defunciones;1.0;A
57714;61616;3143;2017;55917;3691;Defunciones;1.0;A
57714;61616;3143;2017;55917;3689;Defunciones;1.0;A
57714;61616;3143;2017;55918;3691;Defunciones;2.0;A
57714;61616;3143;2017;55918;3689;Defunciones;2.0;A
57714;61617;3143;2018;55920;3691;Defunciones;42.0;A
57714;61617;3143;2018;55920;3689;Defunciones;33.0;A
57714;61617;3143;2018;55920;3690;Defunciones;9.0;A
57714;61617;3143;2018;55908;3691;Defunciones;4.0;A
57714;61617;3143;2018;55908;3689;Defunciones;4.0;A
57714;61617;3143;2018;55909;3691;Defunciones;2.0;A
57714;61617;3143;2018;55909;3689;Defunciones;2.0;A
57714;61617;3143;2018;55910;3691;Defunciones;3.0;A
57714;61617;3143;2018;55910;3689;Defunciones;3.0;A
57714;61617;3143;2018;55911;3691;Defunciones;2.0;A
57714;61617;3143;2018;55911;3689;Defunciones;2.0;A
57714;61617;3143;2018;55912;3691;Defunciones;5.0;A
57714;61617;3143;2018;55912;3689;Defunciones;4.0;A
57714;61617;3143;2018;55912;3690;Defunciones;1.0;A
57714;61617;3143;2018;55913;3691;Defunciones;2.0;A
57714;61617;3143;2018;55913;3689;Defunciones;1.0;A
57714;61617;3143;2018;55913;3690;Defunciones;1.0;A
57714;61617;3143;2018;55914;3691;Defunciones;2.0;A
57714;61617;3143;2018;55914;3689;Defunciones;2.0;A
57714;61617;3143;2018;55915;3691;Defunciones;3.0;A
57714;61617;3143;2018;55915;3690;Defunciones;3.0;A
57714;61617;3143;2018;55916;3691;Defunciones;6.0;A
57714;61617;3143;2018;55916;3689;Defunciones;4.0;A
57714;61617;3143;2018;55916;3690;Defunciones;2.0;A
57714;61617;3143;2018;55917;3691;Defunciones;3.0;A
57714;61617;3143;2018;55917;3689;Defunciones;2.0;A
57714;61617;3143;2018;55917;3690;Defunciones;1.0;A
57714;61617;3143;2018;55918;3691;Defunciones;5.0;A
57714;61617;3143;2018;55918;3689;Defunciones;5.0;A
57714;61617;3143;2018;55919;3691;Defunciones;5.0;A
57714;61617;3143;2018;55919;3689;Defunciones;4.0;A
57714;61617;3143;2018;55919;3690;Defunciones;1.0;A
57714;61617;3143;2017;55920;3691;Defunciones;30.0;A
57714;61617;3143;2017;55920;3689;Defunciones;20.0;A
57714;61617;3143;2017;55920;3690;Defunciones;10.0;A
57714;61617;3143;2017;55908;3691;Defunciones;2.0;A
57714;61617;3143;2017;55908;3689;Defunciones;1.0;A
57714;61617;3143;2017;55908;3690;Defunciones;1.0;A
57714;61617;3143;2017;55909;3691;Defunciones;1.0;A
57714;61617;3143;2017;55909;3689;Defunciones;1.0;A
57714;61617;3143;2017;55910;3691;Defunciones;1.0;A
57714;61617;3143;2017;55910;3690;Defunciones;1.0;A
57714;61617;3143;2017;55911;3691;Defunciones;3.0;A
57714;61617;3143;2017;55911;3689;Defunciones;1.0;A
57714;61617;3143;2017;55911;3690;Defunciones;2.0;A
57714;61617;3143;2017;55912;3691;Defunciones;2.0;A
57714;61617;3143;2017;55912;3689;Defunciones;1.0;A
57714;61617;3143;2017;55912;3690;Defunciones;1.0;A
57714;61617;3143;2017;55913;3691;Defunciones;5.0;A
57714;61617;3143;2017;55913;3689;Defunciones;4.0;A
57714;61617;3143;2017;55913;3690;Defunciones;1.0;A
57714;61617;3143;2017;55914;3691;Defunciones;5.0;A
57714;61617;3143;2017;55914;3689;Defunciones;3.0;A
57714;61617;3143;2017;55914;3690;Defunciones;2.0;A
57714;61617;3143;2017;55915;3691;Defunciones;6.0;A
57714;61617;3143;2017;55915;3689;Defunciones;6.0;A
57714;61617;3143;2017;55916;3691;Defunciones;3.0;A
57714;61617;3143;2017;55916;3689;Defunciones;1.0;A
57714;61617;3143;2017;55916;3690;Defunciones;2.0;A
57714;61617;3143;2017;55918;3691;Defunciones;1.0;A
57714;61617;3143;2017;55918;3689;Defunciones;1.0;A
57714;61617;3143;2017;55919;3691;Defunciones;1.0;A
57714;61617;3143;2017;55919;3689;Defunciones;1.0;A
57714;61618;3143;2018;55920;3691;Defunciones;56.0;A
57714;61618;3143;2018;55920;3689;Defunciones;29.0;A
57714;61618;3143;2018;55920;3690;Defunciones;27.0;A
57714;61618;3143;2018;55908;3691;Defunciones;10.0;A
57714;61618;3143;2018;55908;3689;Defunciones;7.0;A
57714;61618;3143;2018;55908;3690;Defunciones;3.0;A
57714;61618;3143;2018;55909;3691;Defunciones;7.0;A
57714;61618;3143;2018;55909;3689;Defunciones;3.0;A
57714;61618;3143;2018;55909;3690;Defunciones;4.0;A
57714;61618;3143;2018;55910;3691;Defunciones;10.0;A
57714;61618;3143;2018;55910;3689;Defunciones;4.0;A
57714;61618;3143;2018;55910;3690;Defunciones;6.0;A
57714;61618;3143;2018;55911;3691;Defunciones;7.0;A
57714;61618;3143;2018;55911;3689;Defunciones;3.0;A
57714;61618;3143;2018;55911;3690;Defunciones;4.0;A
57714;61618;3143;2018;55912;3691;Defunciones;3.0;A
57714;61618;3143;2018;55912;3689;Defunciones;2.0;A
57714;61618;3143;2018;55912;3690;Defunciones;1.0;A
57714;61618;3143;2018;55913;3691;Defunciones;1.0;A
57714;61618;3143;2018;55913;3690;Defunciones;1.0;A
57714;61618;3143;2018;55914;3691;Defunciones;6.0;A
57714;61618;3143;2018;55914;3689;Defunciones;4.0;A
57714;61618;3143;2018;55914;3690;Defunciones;2.0;A
57714;61618;3143;2018;55915;3691;Defunciones;1.0;A
57714;61618;3143;2018;55915;3690;Defunciones;1.0;A
57714;61618;3143;2018;55916;3691;Defunciones;4.0;A
57714;61618;3143;2018;55916;3689;Defunciones;2.0;A
57714;61618;3143;2018;55916;3690;Defunciones;2.0;A
57714;61618;3143;2018;55917;3691;Defunciones;4.0;A
57714;61618;3143;2018;55917;3689;Defunciones;3.0;A
57714;61618;3143;2018;55917;3690;Defunciones;1.0;A
57714;61618;3143;2018;55919;3691;Defunciones;3.0;A
57714;61618;3143;2018;55919;3689;Defunciones;1.0;A
57714;61618;3143;2018;55919;3690;Defunciones;2.0;A
57714;61618;3143;2017;55920;3691;Defunciones;66.0;A
57714;61618;3143;2017;55920;3689;Defunciones;37.0;A
57714;61618;3143;2017;55920;3690;Defunciones;29.0;A
57714;61618;3143;2017;55908;3691;Defunciones;3.0;A
57714;61618;3143;2017;55908;3689;Defunciones;1.0;A
57714;61618;3143;2017;55908;3690;Defunciones;2.0;A
57714;61618;3143;2017;55909;3691;Defunciones;4.0;A
57714;61618;3143;2017;55909;3689;Defunciones;1.0;A
57714;61618;3143;2017;55909;3690;Defunciones;3.0;A
57714;61618;3143;2017;55910;3691;Defunciones;8.0;A
57714;61618;3143;2017;55910;3689;Defunciones;3.0;A
57714;61618;3143;2017;55910;3690;Defunciones;5.0;A
57714;61618;3143;2017;55911;3691;Defunciones;3.0;A
57714;61618;3143;2017;55911;3689;Defunciones;1.0;A
57714;61618;3143;2017;55911;3690;Defunciones;2.0;A
57714;61618;3143;2017;55912;3691;Defunciones;4.0;A
57714;61618;3143;2017;55912;3689;Defunciones;2.0;A
57714;61618;3143;2017;55912;3690;Defunciones;2.0;A
57714;61618;3143;2017;55913;3691;Defunciones;1.0;A
57714;61618;3143;2017;55913;3689;Defunciones;1.0;A
57714;61618;3143;2017;55914;3691;Defunciones;5.0;A
57714;61618;3143;2017;55914;3689;Defunciones;2.0;A
57714;61618;3143;2017;55914;3690;Defunciones;3.0;A
57714;61618;3143;2017;55915;3691;Defunciones;9.0;A
57714;61618;3143;2017;55915;3689;Defunciones;6.0;A
57714;61618;3143;2017;55915;3690;Defunciones;3.0;A
57714;61618;3143;2017;55916;3691;Defunciones;4.0;A
57714;61618;3143;2017;55916;3689;Defunciones;2.0;A
57714;61618;3143;2017;55916;3690;Defunciones;2.0;A
57714;61618;3143;2017;55917;3691;Defunciones;5.0;A
57714;61618;3143;2017;55917;3689;Defunciones;4.0;A
57714;61618;3143;2017;55917;3690;Defunciones;1.0;A
57714;61618;3143;2017;55918;3691;Defunciones;5.0;A
57714;61618;3143;2017;55918;3689;Defunciones;3.0;A
57714;61618;3143;2017;55918;3690;Defunciones;2.0;A
57714;61618;3143;2017;55919;3691;Defunciones;15.0;A
57714;61618;3143;2017;55919;3689;Defunciones;11.0;A
57714;61618;3143;2017;55919;3690;Defunciones;4.0;A
57714;61619;3143;2018;55920;3691;Defunciones;151.0;A
57714;61619;3143;2018;55920;3689;Defunciones;67.0;A
57714;61619;3143;2018;55920;3690;Defunciones;84.0;A
57714;61619;3143;2018;55908;3691;Defunciones;18.0;A
57714;61619;3143;2018;55908;3689;Defunciones;7.0;A
57714;61619;3143;2018;55908;3690;Defunciones;11.0;A
57714;61619;3143;2018;55909;3691;Defunciones;9.0;A
57714;61619;3143;2018;55909;3689;Defunciones;6.0;A
57714;61619;3143;2018;55909;3690;Defunciones;3.0;A
57714;61619;3143;2018;55910;3691;Defunciones;16.0;A
57714;61619;3143;2018;55910;3689;Defunciones;9.0;A
57714;61619;3143;2018;55910;3690;Defunciones;7.0;A
57714;61619;3143;2018;55911;3691;Defunciones;8.0;A
57714;61619;3143;2018;55911;3689;Defunciones;4.0;A
57714;61619;3143;2018;55911;3690;Defunciones;4.0;A
57714;61619;3143;2018;55912;3691;Defunciones;11.0;A
57714;61619;3143;2018;55912;3689;Defunciones;4.0;A
57714;61619;3143;2018;55912;3690;Defunciones;7.0;A
57714;61619;3143;2018;55913;3691;Defunciones;14.0;A
57714;61619;3143;2018;55913;3689;Defunciones;3.0;A
57714;61619;3143;2018;55913;3690;Defunciones;11.0;A
57714;61619;3143;2018;55914;3691;Defunciones;8.0;A
57714;61619;3143;2018;55914;3689;Defunciones;4.0;A
57714;61619;3143;2018;55914;3690;Defunciones;4.0;A
57714;61619;3143;2018;55915;3691;Defunciones;13.0;A
57714;61619;3143;2018;55915;3689;Defunciones;5.0;A
57714;61619;3143;2018;55915;3690;Defunciones;8.0;A
57714;61619;3143;2018;55916;3691;Defunciones;13.0;A
57714;61619;3143;2018;55916;3689;Defunciones;8.0;A
57714;61619;3143;2018;55916;3690;Defunciones;5.0;A
57714;61619;3143;2018;55917;3691;Defunciones;12.0;A
57714;61619;3143;2018;55917;3689;Defunciones;4.0;A
57714;61619;3143;2018;55917;3690;Defunciones;8.0;A
57714;61619;3143;2018;55918;3691;Defunciones;12.0;A
57714;61619;3143;2018;55918;3689;Defunciones;5.0;A
57714;61619;3143;2018;55918;3690;Defunciones;7.0;A
57714;61619;3143;2018;55919;3691;Defunciones;17.0;A
57714;61619;3143;2018;55919;3689;Defunciones;8.0;A
57714;61619;3143;2018;55919;3690;Defunciones;9.0;A
57714;61619;3143;2017;55920;3691;Defunciones;122.0;A
57714;61619;3143;2017;55920;3689;Defunciones;58.0;A
57714;61619;3143;2017;55920;3690;Defunciones;64.0;A
57714;61619;3143;2017;55908;3691;Defunciones;12.0;A
57714;61619;3143;2017;55908;3689;Defunciones;8.0;A
57714;61619;3143;2017;55908;3690;Defunciones;4.0;A
57714;61619;3143;2017;55909;3691;Defunciones;15.0;A
57714;61619;3143;2017;55909;3689;Defunciones;6.0;A
57714;61619;3143;2017;55909;3690;Defunciones;9.0;A
57714;61619;3143;2017;55910;3691;Defunciones;6.0;A
57714;61619;3143;2017;55910;3689;Defunciones;4.0;A
57714;61619;3143;2017;55910;3690;Defunciones;2.0;A
57714;61619;3143;2017;55911;3691;Defunciones;8.0;A
57714;61619;3143;2017;55911;3689;Defunciones;5.0;A
57714;61619;3143;2017;55911;3690;Defunciones;3.0;A
57714;61619;3143;2017;55912;3691;Defunciones;7.0;A
57714;61619;3143;2017;55912;3689;Defunciones;2.0;A
57714;61619;3143;2017;55912;3690;Defunciones;5.0;A
57714;61619;3143;2017;55913;3691;Defunciones;9.0;A
57714;61619;3143;2017;55913;3689;Defunciones;2.0;A
57714;61619;3143;2017;55913;3690;Defunciones;7.0;A
57714;61619;3143;2017;55914;3691;Defunciones;9.0;A
57714;61619;3143;2017;55914;3689;Defunciones;4.0;A
57714;61619;3143;2017;55914;3690;Defunciones;5.0;A
57714;61619;3143;2017;55915;3691;Defunciones;12.0;A
57714;61619;3143;2017;55915;3689;Defunciones;7.0;A
57714;61619;3143;2017;55915;3690;Defunciones;5.0;A
57714;61619;3143;2017;55916;3691;Defunciones;12.0;A
57714;61619;3143;2017;55916;3689;Defunciones;6.0;A
57714;61619;3143;2017;55916;3690;Defunciones;6.0;A
57714;61619;3143;2017;55917;3691;Defunciones;6.0;A
57714;61619;3143;2017;55917;3690;Defunciones;6.0;A
57714;61619;3143;2017;55918;3691;Defunciones;11.0;A
57714;61619;3143;2017;55918;3689;Defunciones;7.0;A
57714;61619;3143;2017;55918;3690;Defunciones;4.0;A
57714;61619;3143;2017;55919;3691;Defunciones;15.0;A
57714;61619;3143;2017;55919;3689;Defunciones;7.0;A
57714;61619;3143;2017;55919;3690;Defunciones;8.0;A
57714;61620;3143;2018;55920;3691;Defunciones;225.0;A
57714;61620;3143;2018;55920;3689;Defunciones;84.0;A
57714;61620;3143;2018;55920;3690;Defunciones;141.0;A
57714;61620;3143;2018;55908;3691;Defunciones;29.0;A
57714;61620;3143;2018;55908;3689;Defunciones;8.0;A
57714;61620;3143;2018;55908;3690;Defunciones;21.0;A
57714;61620;3143;2018;55909;3691;Defunciones;23.0;A
57714;61620;3143;2018;55909;3689;Defunciones;9.0;A
57714;61620;3143;2018;55909;3690;Defunciones;14.0;A
57714;61620;3143;2018;55910;3691;Defunciones;19.0;A
57714;61620;3143;2018;55910;3689;Defunciones;8.0;A
57714;61620;3143;2018;55910;3690;Defunciones;11.0;A
57714;61620;3143;2018;55911;3691;Defunciones;14.0;A
57714;61620;3143;2018;55911;3689;Defunciones;6.0;A
57714;61620;3143;2018;55911;3690;Defunciones;8.0;A
57714;61620;3143;2018;55912;3691;Defunciones;14.0;A
57714;61620;3143;2018;55912;3689;Defunciones;5.0;A
57714;61620;3143;2018;55912;3690;Defunciones;9.0;A
57714;61620;3143;2018;55913;3691;Defunciones;16.0;A
57714;61620;3143;2018;55913;3689;Defunciones;9.0;A
57714;61620;3143;2018;55913;3690;Defunciones;7.0;A
57714;61620;3143;2018;55914;3691;Defunciones;17.0;A
57714;61620;3143;2018;55914;3689;Defunciones;4.0;A
57714;61620;3143;2018;55914;3690;Defunciones;13.0;A
57714;61620;3143;2018;55915;3691;Defunciones;16.0;A
57714;61620;3143;2018;55915;3689;Defunciones;6.0;A
57714;61620;3143;2018;55915;3690;Defunciones;10.0;A
57714;61620;3143;2018;55916;3691;Defunciones;15.0;A
57714;61620;3143;2018;55916;3689;Defunciones;6.0;A
57714;61620;3143;2018;55916;3690;Defunciones;9.0;A
57714;61620;3143;2018;55917;3691;Defunciones;22.0;A
57714;61620;3143;2018;55917;3689;Defunciones;8.0;A
57714;61620;3143;2018;55917;3690;Defunciones;14.0;A
57714;61620;3143;2018;55918;3691;Defunciones;21.0;A
57714;61620;3143;2018;55918;3689;Defunciones;9.0;A
57714;61620;3143;2018;55918;3690;Defunciones;12.0;A
57714;61620;3143;2018;55919;3691;Defunciones;19.0;A
57714;61620;3143;2018;55919;3689;Defunciones;6.0;A
57714;61620;3143;2018;55919;3690;Defunciones;13.0;A
57714;61620;3143;2017;55920;3691;Defunciones;175.0;A
57714;61620;3143;2017;55920;3689;Defunciones;84.0;A
57714;61620;3143;2017;55920;3690;Defunciones;91.0;A
